NOMPROV;ORGANIZACION;NIVEL;SLA;HORARIO;MES;ANIO;NUM_INCIDENTE;FECHA_INI;FECHA_FIN;GRUPO;PRIORIDAD;ESTADO;SUBESTADO;FECHA_REAPERTURA;IMPACTO;MINUTOSHAB;STATUS_ACTUAL;FECHACREACION;PROVEEDOR;PERIODO;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007622186;07/04/2025 15:16:11;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;04/04/2025 17:54:21;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007622462;08/04/2025 02:29:16;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Cerrado;05/04/2025 09:31:14;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007627762;11/04/2025 12:18:07;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;10/04/2025 19:38:08;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007628395;14/04/2025 16:48:03;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;11/04/2025 12:54:01;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007628505;14/04/2025 16:48:32;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;11/04/2025 14:25:48;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007629255;14/04/2025 16:48:54;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;12/04/2025 10:48:22;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007630498;14/04/2025 16:50:06;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;14/04/2025 16:18:07;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007646241;29/04/2025 10:27:56;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;29/04/2025 09:19:11;44;06_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;6;2025;INC000007646447;29/04/2025 12:26:35;30/06/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Cerrado;29/04/2025 10:10:23;44;06_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;6;2025;INC000007647422;30/04/2025 10:52:12;30/06/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Pendiente;29/04/2025 17:04:34;44;06_2025;
