NOMPROV;ORGANIZACION;NIVEL;SLA;HORARIO;MES;ANIO;NUM_INCIDENTE;FECHA_INI;FECHA_FIN;GRUPO;PRIORIDAD;ESTADO;SUBESTADO;FECHA_REAPERTURA;IMPACTO;MINUTOSHAB;STATUS_ACTUAL;FECHACREACION;PROVEEDOR;PERIODO;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517526;01/01/2025 21:01:46;01/01/2025 21:28:07;N2_TIENDA_EVERIS;Critica;Resolved;NO;;Alto;27;Cerrado;01/01/2025 21:01:46;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517543;01/01/2025 08:36:44;01/01/2025 09:45:25;N2_TIENDA_EVERIS;Critica;Resolved;NO;;Alto;69;Cerrado;01/01/2025 08:36:44;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517544;01/01/2025 08:36:49;01/01/2025 09:45:44;N2_TIENDA_EVERIS;Critica;Resolved;NO;;Alto;69;Cerrado;01/01/2025 08:36:49;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517557;01/01/2025 10:06:43;01/01/2025 10:09:46;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;3;Cerrado;01/01/2025 10:06:43;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517557;01/01/2025 10:09:47;01/01/2025 19:46:32;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;01/01/2025 10:06:43;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517607;01/01/2025 14:31:44;01/01/2025 14:36:52;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;5;Cerrado;01/01/2025 14:31:44;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517607;01/01/2025 14:36:53;01/01/2025 15:10:54;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;01/01/2025 14:31:44;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517647;01/01/2025 22:01:46;01/01/2025 22:07:47;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;6;Cerrado;01/01/2025 22:01:46;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517647;01/01/2025 22:07:48;01/01/2025 23:33:39;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;01/01/2025 22:01:46;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517863;02/01/2025 08:36:46;02/01/2025 08:46:22;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;10;Cerrado;02/01/2025 08:36:46;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517863;02/01/2025 08:46:23;02/01/2025 09:10:39;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Alto;0;Cerrado;02/01/2025 08:36:46;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007517864;02/01/2025 08:36:51;02/01/2025 08:46:41;N2_TIENDA_EVERIS;Critica;Asignado;NO;;Alto;10;Cerrado;02/01/2025 08:36:51;44;01_2025;
